date,dress,tshirt,top,sweater,sweatshirt,shirt
2018-12-09,53,39,3,4.0,1.0,89
2018-12-16,47,34,3,3.0,1.0,83
2018-12-23,51,36,3,3.0,2.0,94
2018-12-30,88,29,2,3.0,1.0,82
2019-01-06,43,29,2,3.0,2.0,75
2019-01-13,47,23,2,3.0,1.0,72
2019-01-20,48,23,2,2.0,1.0,64
2019-01-27,52,26,2,3.0,3.0,62
2019-02-03,58,28,2,3.0,3.0,68
2019-02-10,57,30,2,3.0,3.0,68
2019-02-17,58,31,2,3.0,8.0,68
2019-02-24,65,35,2,4.0,11.0,79
2019-03-03,58,37,2,4.0,9.0,70
2019-03-10,63,36,3,4.0,9.0,82
2019-03-17,68,38,3,4.0,9.0,66
2019-03-24,67,39,3,4.0,9.0,74
2019-03-31,67,35,3,4.0,9.0,80
2019-04-07,67,35,3,4.0,9.0,84
2019-04-14,61,35,3,4.0,7.0,85
2019-04-21,65,36,3,4.0,1.0,87
2019-04-28,68,44,4,5.0,1.0,82
2019-05-05,81,46,4,5.0,1.0,87
2019-05-12,71,46,4,5.0,1.0,98
2019-05-19,69,47,4,5.0,1.0,84
2019-05-26,66,46,4,4.0,1.0,80
2019-06-02,66,58,4,4.0,1.0,89
2019-06-09,70,48,4,4.0,1.0,79
2019-06-16,88,48,4,4.0,1.0,86
2019-06-23,97,46,5,4.0,1.0,74
2019-06-30,77,49,5,4.0,1.0,80
2019-07-07,70,50,5,3.0,1.0,86
2019-07-14,66,49,5,3.0,1.0,72
2019-07-21,63,46,5,3.0,1.0,77
2019-07-28,58,47,4,3.0,2.0,72
2019-08-04,59,48,4,4.0,1.0,70
2019-08-11,51,45,3,3.0,1.0,73
2019-08-18,56,41,3,3.0,1.0,73
2019-08-25,56,42,3,3.0,1.0,74
2019-09-01,53,40,3,3.0,1.0,72
2019-09-08,49,35,2,3.0,1.0,72
2019-09-15,50,38,2,3.0,1.0,77
2019-09-22,53,36,2,4.0,2.0,75
2019-09-29,50,35,3,4.0,2.0,75
2019-10-06,49,35,2,4.0,2.0,80
2019-10-13,47,33,2,7.0,2.0,71
2019-10-20,46,34,2,13.0,2.0,76
2019-10-27,45,32,2,13.0,2.0,76
2019-11-03,45,32,2,14.0,2.0,73
2019-11-10,45,34,2,16.0,2.0,71
2019-11-17,45,27,2,18.0,2.0,68
2019-11-24,50,33,3,19.0,2.0,82
2019-12-01,49,34,3,20.0,2.0,85
2019-12-08,52,37,3,20.0,2.0,89
2019-12-15,49,36,4,19.0,2.0,88
2019-12-22,49,34,4,13.0,2.0,94
2019-12-29,100,35,3,1.0,2.0,90
2020-01-05,48,32,2,1.0,2.0,79
2020-01-12,50,31,2,1.0,2.0,72
2020-01-19,48,28,2,2.0,1.0,66
2020-01-26,58,31,2,2.0,1.0,65
2020-02-02,55,35,3,6.0,1.0,68
2020-02-09,61,35,3,3.0,1.0,75
2020-02-16,58,33,3,1.0,1.0,72
2020-02-23,59,33,3,1.0,1.0,66
2020-03-01,59,35,3,1.0,1.0,68
2020-03-08,39,25,2,0.0,1.0,51
2020-03-15,18,14,2,0.0,1.0,30
2020-03-22,20,18,2,1.0,1.0,33
2020-03-29,21,19,2,0.0,1.0,34
2020-04-05,27,28,3,0.0,1.0,40
2020-04-12,24,26,3,0.0,1.0,41
2020-04-19,23,30,3,0.0,1.0,43
2020-04-26,26,36,3,0.0,1.0,48
2020-05-03,29,45,4,0.0,1.0,52
2020-05-10,30,37,4,0.0,1.0,56
2020-05-17,39,48,4,1.0,1.0,60
2020-05-24,44,47,4,0.0,1.0,59
2020-05-31,46,50,5,0.0,1.0,58
2020-06-07,45,49,4,0.0,1.0,66
2020-06-14,48,45,4,0.0,1.0,65
2020-06-21,59,46,5,0.0,1.0,72
2020-06-28,61,48,5,0.0,1.0,73
2020-07-05,58,45,5,0.0,1.0,65
2020-07-12,51,47,4,0.0,1.0,65
2020-07-19,49,47,4,0.0,1.0,66
2020-07-26,47,50,4,0.0,1.0,64
2020-08-02,49,48,4,0.0,1.0,63
2020-08-09,45,45,4,0.0,1.0,62
2020-08-16,40,42,3,0.0,1.0,58
2020-08-23,36,43,3,1.0,2.0,59
2020-08-30,32,40,3,1.0,2.0,59
2020-09-06,32,38,3,1.0,2.0,61
2020-09-13,30,37,2,1.0,2.0,59
2020-09-20,31,34,2,1.0,2.0,59
2020-09-27,29,33,2,1.0,2.0,63
2020-10-04,27,32,2,1.0,2.0,63
2020-10-11,31,32,2,2.0,2.0,67
2020-10-18,26,28,2,2.0,2.0,61
2020-10-25,21,29,1,2.0,2.0,63
2020-11-01,21,25,2,2.0,1.0,56
2020-11-08,23,27,2,2.0,2.0,59
2020-11-15,26,27,2,3.0,2.0,61
2020-11-22,27,34,2,3.0,2.0,64
2020-11-29,27,35,2,3.0,2.0,63
2020-12-06,30,35,2,3.0,2.0,62
2020-12-13,28,36,2,3.0,2.0,73
2020-12-20,34,32,2,3.0,2.0,66
2020-12-27,73,33,2,3.0,2.0,73
2021-01-03,31,30,2,3.0,2.0,64
2021-01-10,25,28,2,2.0,2.0,55
2021-01-17,28,25,2,2.0,2.0,54
2021-01-24,26,27,2,2.0,1.0,54
2021-01-31,29,31,2,2.0,1.0,59
2021-02-07,31,31,3,1.0,1.0,61
2021-02-14,33,30,2,1.0,2.0,60
2021-02-21,35,33,3,1.0,2.0,59
2021-02-28,37,35,3,1.0,2.0,60
2021-03-07,42,37,3,1.0,2.0,62
2021-03-14,41,38,3,1.0,2.0,61
2021-03-21,41,38,3,1.0,2.0,63
2021-03-28,47,41,4,1.0,2.0,71
2021-04-04,43,41,3,1.0,2.0,65
2021-04-11,46,41,4,3.0,1.0,70
2021-04-18,51,40,4,5.0,1.0,71
2021-04-25,50,40,4,5.0,1.0,65
2021-05-02,52,45,5,5.0,1.0,71
2021-05-09,56,44,5,4.0,1.0,75
2021-05-16,62,46,5,4.0,1.0,74
2021-05-23,65,51,5,4.0,1.0,66
2021-05-30,65,55,6,3.0,1.0,79
2021-06-06,69,60,6,3.0,1.0,74
2021-06-13,70,55,6,3.0,1.0,76
2021-06-20,65,52,6,3.0,1.0,78
2021-06-27,65,54,6,3.0,1.0,76
2021-07-04,60,54,6,3.0,1.0,73
2021-07-11,61,51,6,3.0,1.0,68
2021-07-18,59,49,6,3.0,1.0,67
2021-07-25,55,47,6,3.0,1.0,66
2021-08-01,52,47,5,4.0,1.0,64
2021-08-08,54,60,6,4.0,1.0,68
2021-08-15,51,50,5,4.0,1.0,67
2021-08-22,54,49,4,4.0,1.0,73
2021-08-29,51,43,4,5.0,1.0,68
2021-09-05,52,41,3,6.0,1.0,72
2021-09-12,53,39,3,7.0,2.0,66
2021-09-19,51,36,3,9.0,6.0,60
2021-09-26,51,39,3,9.0,5.0,59
2021-10-03,48,36,3,11.0,5.0,61
2021-10-10,56,34,3,11.0,2.0,68
2021-10-17,51,36,4,12.0,2.0,67
2021-10-24,47,34,3,14.0,2.0,63
2021-10-31,44,32,2,17.0,2.0,60
2021-11-07,48,33,3,20.0,2.0,61
2021-11-14,47,31,3,18.0,2.0,59
2021-11-21,50,35,3,23.0,2.0,64
2021-11-28,44,32,3,27.0,1.0,55
2021-12-05,50,36,4,28.0,2.0,62
2021-12-12,47,35,4,24.0,2.0,58
2021-12-19,38,32,3,20.0,2.0,56
2021-12-26,76,35,3,18.0,2.0,65
2022-01-02,42,38,3,17.0,2.0,63
2022-01-09,38,32,3,15.0,1.0,53
2022-01-16,41,30,3,13.0,2.0,46
2022-01-23,47,33,3,13.0,1.0,51
2022-01-30,47,32,3,11.0,1.0,52
2022-02-06,55,35,4,10.0,1.0,59
2022-02-13,67,38,4,10.0,1.0,55
2022-02-20,60,37,4,8.0,1.0,57
2022-02-27,61,37,4,8.0,1.0,56
2022-03-06,60,37,4,8.0,1.0,59
2022-03-13,62,40,4,7.0,1.0,61
2022-03-20,67,37,4,7.0,1.0,56
2022-03-27,76,37,5,7.0,1.0,63
2022-04-03,73,38,5,7.0,1.0,64
2022-04-10,71,42,5,5.0,1.0,69
2022-04-17,72,47,5,5.0,1.0,71
2022-04-24,77,50,6,5.0,1.0,65
2022-05-01,96,56,6,4.0,1.0,74
2022-05-08,90,62,7,4.0,1.0,80
2022-05-15,89,68,7,3.0,1.0,78
2022-05-22,83,64,6,3.0,1.0,73
2022-05-29,85,71,7,3.0,1.0,73
2022-06-05,84,65,7,3.0,1.0,68
2022-06-12,87,63,7,2.0,0.0,71
2022-06-19,84,58,7,3.0,1.0,74
2022-06-26,78,63,6,3.0,1.0,73
2022-07-03,75,64,6,3.0,1.0,76
2022-07-10,75,61,6,3.0,1.0,80
2022-07-17,71,61,6,3.0,1.0,82
2022-07-24,69,59,6,3.0,1.0,79
2022-07-31,67,62,6,3.0,1.0,84
2022-08-07,66,58,6,3.0,1.0,79
2022-08-14,57,55,5,4.0,1.0,87
2022-08-21,62,55,5,4.0,1.0,73
2022-08-28,58,58,4,5.0,1.0,71
2022-09-04,53,50,4,5.0,1.0,70
2022-09-11,50,48,4,6.0,1.0,67
2022-09-18,50,46,3,7.0,1.0,73
2022-09-25,49,44,3,10.0,2.0,72
2022-10-02,48,42,3,10.0,1.0,72
2022-10-09,49,44,3,10.0,1.0,69
2022-10-16,44,45,3,10.0,1.0,74
2022-10-23,46,43,4,12.0,1.0,74
2022-10-30,41,42,3,16.0,2.0,70
2022-11-06,43,43,3,18.0,2.0,71
2022-11-13,44,44,3,19.0,2.0,78
2022-11-20,43,51,3,24.0,2.0,74
2022-11-27,45,50,4,27.0,2.0,69
2022-12-04,48,53,4,31.0,2.0,73
2022-12-11,48,55,4,30.0,2.0,78
2022-12-18,41,61,4,29.0,2.0,75
2022-12-25,63,55,5,26.0,2.0,89
2023-01-01,70,51,3,23.0,2.0,75
2023-01-08,42,39,3,18.0,2.0,70
2023-01-15,44,38,3,16.0,2.0,62
2023-01-22,46,39,3,16.0,2.0,68
2023-01-29,48,38,3,14.0,1.0,62
2023-02-05,46,38,3,14.0,1.0,69
2023-02-12,53,38,4,12.0,1.0,64
2023-02-19,52,35,3,11.0,1.0,64
2023-02-26,51,39,3,10.0,1.0,60
2023-03-05,58,44,3,8.0,1.0,69
2023-03-12,67,51,3,7.0,1.0,84
2023-03-19,65,53,4,6.0,1.0,82
2023-03-26,61,53,4,6.0,1.0,82
2023-04-02,66,51,4,6.0,1.0,84
2023-04-09,69,54,4,5.0,1.0,80
2023-04-16,74,58,4,5.0,1.0,95
2023-04-23,76,62,4,4.0,1.0,91
2023-04-30,80,67,5,4.0,1.0,87
2023-05-07,78,62,5,4.0,1.0,90
2023-05-14,77,57,4,4.0,1.0,90
2023-05-21,70,58,5,5.0,1.0,86
2023-05-28,62,59,4,4.0,1.0,88
2023-06-04,65,67,4,4.0,1.0,85
2023-06-11,68,71,4,3.0,1.0,100
2023-06-18,68,65,5,3.0,1.0,97
2023-06-25,72,67,5,3.0,1.0,91
2023-07-02,78,68,5,3.0,1.0,91
2023-07-09,93,63,4,3.0,1.0,91
2023-07-16,65,62,4,3.0,1.0,82
2023-07-23,59,67,4,3.0,1.0,85
2023-07-30,58,67,4,3.0,1.0,93
2023-08-06,56,60,3,4.0,1.0,90
2023-08-13,51,60,3,4.0,1.0,96
2023-08-20,51,61,3,4.0,1.0,83
2023-08-27,50,53,2,6.0,1.0,81
2023-09-03,44,50,2,6.0,1.0,78
2023-09-10,43,47,2,6.0,1.0,77
2023-09-17,42,47,2,7.0,1.0,78
2023-09-24,45,48,2,7.0,1.0,78
2023-10-01,42,50,2,7.0,1.0,79
2023-10-08,46,48,2,9.0,1.0,77
2023-10-15,41,48,2,11.0,2.0,80
2023-10-22,39,46,2,15.0,2.0,85
2023-10-29,40,41,2,18.0,2.0,77
2023-11-05,39,40,2,21.0,2.0,68
2023-11-12,42,41,2,19.0,2.0,77
2023-11-19,40,47,2,26.0,2.0,85
2023-11-26,39,45,2,23.0,2.0,86
